Company,TypeName,Inches,Ram,Weight,Price,Cpu,Memory,Gpu,OpSys
HP,2 in 1 Convertible,17.3,8.0,2.82,43552,Intel Core i9,2TB HDD,Intel HD Graphics 620,Chrome OS
Toshiba,Gaming,11.6,32.0,1.52,211314,Intel Core i9,2TB HDD,AMD Radeon R5,No OS
Razer,Netbook,14.0,16.0,3.4,191844,AMD E-Series,512GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Samsung,Workstation,14.0,16.0,4.69,189802,Intel Core i5,512GB SSD,AMD Radeon R5,Chrome OS
Asus,Workstation,17.3,32.0,2.62,175020,Intel Core i9,256GB SSD,Nvidia GeForce GTX 1050,Linux
Dell,2 in 1 Convertible,12.5,8.0,2.25,222383,Intel Pentium,256GB SSD,AMD Radeon R5,Windows 10 S
Lenovo,Gaming,13.3,16.0,2.42,84093,AMD A9,2TB HDD,Intel UHD Graphics 620,Linux
Dell,Workstation,11.6,8.0,1.34,84123,Intel Pentium,512GB SSD +  1TB HDD,Intel HD Graphics 620,No OS
Acer,Netbook,14.0,8.0,4.26,31535,AMD A9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Acer,Ultrabook,11.6,8.0,2.48,81490,Intel Pentium,256GB SSD,Intel UHD Graphics 620,macOS
Toshiba,Notebook,14.0,64.0,,61562,Intel Core i5,256GB SSD,Intel HD Graphics 620,Chrome OS
Samsung,Notebook,11.6,32.0,3.41,134042,Intel Pentium,2TB HDD,Intel HD Graphics 620,Chrome OS
Samsung,Notebook,15.6,16.0,2.58,104080,Intel Pentium,2TB HDD,Nvidia GeForce GTX 1060,Chrome OS
HP,Gaming,14.0,16.0,3.36,204607,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS
HP,2 in 1 Convertible,11.6,16.0,1.13,245063,Intel Pentium,2TB HDD,Intel UHD Graphics 620,Chrome OS
HP,Workstation,13.3,32.0,3.99,56269,Intel Core i3,1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Asus,Ultrabook,15.6,8.0,4.47,95674,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1060,Windows 10
Apple,Netbook,15.6,8.0,3.37,57462,AMD E-Series,256GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
MSI,Ultrabook,13.3,8.0,4.53,149199,Intel Pentium,1TB HDD,Intel UHD Graphics 620,Chrome OS
Apple,Netbook,11.6,16.0,1.48,38147,Intel Core i7,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,macOS
Dell,Gaming,17.3,16.0,2.71,191600,Intel Core i9,1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Apple,Notebook,13.3,8.0,3.19,92095,Intel Core i9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,No OS
Asus,Gaming,11.6,4.0,3.11,215003,Intel Core i3,256GB SSD +  1TB HDD,AMD Radeon R5,Chrome OS
Dell,2 in 1 Convertible,13.3,16.0,2.43,105925,Intel Pentium,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Apple,2 in 1 Convertible,13.3,4.0,2.18,81381,Intel Pentium,2TB HDD,Nvidia GeForce GTX 1050,macOS
Asus,Netbook,14.0,16.0,1.38,114468,Intel Core i5,1TB HDD,Intel HD Graphics 620,Windows 10 S
MSI,Workstation,11.6,64.0,2.39,78749,Intel Core i7,512GB SSD +  1TB HDD,AMD Radeon R5,macOS
Apple,Workstation,17.3,8.0,1.52,184744,AMD A9,256GB SSD,Nvidia GeForce GTX 1060,Chrome OS
Asus,Netbook,14.0,8.0,3.69,28731,AMD A9,2TB HDD,Nvidia GeForce GTX 1060,Linux
HP,2 in 1 Convertible,13.3,16.0,1.69,139647,Intel Core i5,1TB HDD,Intel UHD Graphics 620,macOS
Samsung,2 in 1 Convertible,12.5,16.0,1.12,200584,Intel Core i3,256GB SSD,Nvidia GeForce GTX 1050,macOS
HP,2 in 1 Convertible,13.3,16.0,3.0,244730,AMD A9,1TB HDD,Nvidia GeForce GTX 1050,No OS
Samsung,Gaming,13.3,64.0,3.16,66024,AMD A9,2TB HDD,Intel UHD Graphics 620,Windows 10
Lenovo,2 in 1 Convertible,11.6,4.0,4.21,131712,Intel Core i9,256GB SSD,Intel HD Graphics 620,Chrome OS
Lenovo,Ultrabook,11.6,16.0,3.09,116121,Intel Core i9,2TB HDD,Nvidia GeForce GTX 1060,macOS
Lenovo,Notebook,14.0,16.0,2.21,18832,AMD E-Series,1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
MSI,2 in 1 Convertible,17.3,32.0,3.95,47332,Intel Core i7,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10
HP,Netbook,14.0,8.0,2.95,27467,Intel Core i3,512GB SSD,Nvidia GeForce GTX 1050,No OS
Samsung,Notebook,15.6,16.0,1.2,56025,Intel Pentium,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Chrome OS
Asus,Gaming,13.3,16.0,3.05,159179,Intel Core i7,2TB HDD,AMD Radeon R5,Windows 10
Dell,Netbook,12.5,8.0,4.35,92994,Intel Core i3,2TB HDD,Intel HD Graphics 620,Windows 10
Asus,Notebook,13.3,4.0,2.41,109202,AMD A9,2TB HDD,AMD Radeon R5,Windows 10 S
Dell,Netbook,13.3,32.0,2.03,58481,AMD E-Series,256GB SSD,AMD Radeon R5,No OS
Acer,Gaming,14.0,8.0,1.45,148653,Intel Core i7,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS
Asus,Ultrabook,12.5,8.0,1.48,90118,AMD A9,2TB HDD,Nvidia GeForce GTX 1050,Chrome OS
Apple,Gaming,12.5,8.0,2.54,139010,Intel Core i3,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Linux
Apple,Gaming,12.5,32.0,3.16,197710,Intel Core i7,512GB SSD,AMD Radeon R5,Windows 10 S
Toshiba,Netbook,14.0,16.0,1.21,138714,Intel Pentium,2TB HDD,Intel HD Graphics 620,No OS
HP,Workstation,13.3,16.0,4.47,154490,Intel Core i7,2TB HDD,Nvidia GeForce GTX 1050,Windows 10
Dell,2 in 1 Convertible,14.0,8.0,3.77,239699,AMD A9,2TB HDD,Nvidia GeForce GTX 1060,No OS
Dell,2 in 1 Convertible,11.6,16.0,3.13,175185,Intel Core i7,256GB SSD,Intel HD Graphics 620,Linux
HP,Ultrabook,11.6,16.0,4.05,99363,Intel Pentium,2TB HDD,Nvidia GeForce GTX 1060,macOS
MSI,Ultrabook,14.0,16.0,1.2,138607,AMD E-Series,256GB SSD +  1TB HDD,Intel HD Graphics 620,macOS
Toshiba,2 in 1 Convertible,12.5,32.0,2.71,78044,AMD E-Series,1TB HDD,Nvidia GeForce GTX 1050,No OS
MSI,Workstation,13.3,4.0,3.29,226027,AMD A9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,No OS
MSI,2 in 1 Convertible,14.0,16.0,4.05,207102,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
MSI,Workstation,14.0,4.0,3.88,26814,AMD A9,256GB SSD,AMD Radeon R5,No OS
HP,Ultrabook,14.0,16.0,1.95,114340,AMD E-Series,256GB SSD +  1TB HDD,AMD Radeon R5,Linux
MSI,Notebook,15.6,8.0,4.48,25024,Intel Core i5,2TB HDD,Intel HD Graphics 620,No OS
Apple,Netbook,11.6,8.0,1.37,209360,Intel Core i5,256GB SSD,AMD Radeon R5,Chrome OS
Lenovo,Ultrabook,12.5,8.0,4.23,124236,Intel Core i7,1TB HDD,Nvidia GeForce GTX 1050,Linux
Acer,Ultrabook,17.3,16.0,4.59,72836,Intel Pentium,512GB SSD,Nvidia GeForce GTX 1060,Windows 10 S
Dell,Gaming,12.5,8.0,1.57,22435,Intel Core i9,2TB HDD,Nvidia GeForce GTX 1050,Chrome OS
Dell,Gaming,17.3,16.0,3.64,213156,Intel Core i9,256GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
Acer,Gaming,15.6,8.0,1.05,85601,Intel Core i9,256GB SSD,AMD Radeon R5,macOS
HP,Netbook,14.0,4.0,2.44,234488,Intel Core i7,256GB SSD,Nvidia GeForce GTX 1060,Linux
Asus,Gaming,15.6,16.0,2.86,135871,Intel Core i5,2TB HDD,Intel UHD Graphics 620,Chrome OS
HP,Workstation,15.6,8.0,3.11,149479,AMD E-Series,256GB SSD,Nvidia GeForce GTX 1060,Windows 10 S
Dell,2 in 1 Convertible,13.3,8.0,4.46,113943,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1060,macOS
Dell,Notebook,11.6,16.0,3.45,47940,Intel Core i9,256GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Acer,Ultrabook,17.3,8.0,2.73,20666,Intel Core i9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Linux
MSI,Workstation,14.0,4.0,3.98,52122,AMD A9,512GB SSD +  1TB HDD,Intel HD Graphics 620,macOS
HP,Notebook,17.3,8.0,4.51,133647,Intel Core i9,256GB SSD,Intel HD Graphics 620,Linux
Samsung,Workstation,12.5,32.0,0.98,171164,Intel Pentium,2TB HDD,Nvidia GeForce GTX 1060,Linux
Acer,Workstation,17.3,16.0,4.63,144753,Intel Core i9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Linux
Apple,Ultrabook,12.5,16.0,1.23,138402,AMD A9,256GB SSD +  1TB HDD,AMD Radeon R5,macOS
Dell,2 in 1 Convertible,11.6,16.0,3.99,221717,Intel Core i9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Chrome OS
Acer,Gaming,12.5,8.0,1.97,116190,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1060,No OS
HP,Netbook,17.3,8.0,1.4,115468,AMD E-Series,2TB HDD,AMD Radeon R5,Windows 10
Dell,2 in 1 Convertible,17.3,16.0,2.57,144207,Intel Core i7,1TB HDD,Intel UHD Graphics 620,Chrome OS
Asus,Netbook,12.5,4.0,3.35,41505,Intel Pentium,2TB HDD,Intel HD Graphics 620,macOS
Acer,Ultrabook,15.6,8.0,2.35,51713,AMD A9,2TB HDD,AMD Radeon R5,Windows 10
Toshiba,Ultrabook,11.6,8.0,1.11,200459,Intel Core i7,2TB HDD,Intel UHD Graphics 620,Windows 10
Dell,Ultrabook,13.3,8.0,3.18,58169,Intel Core i7,256GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
HP,Notebook,14.0,64.0,4.33,219354,AMD A9,512GB SSD,Nvidia GeForce GTX 1060,No OS
Lenovo,Netbook,17.3,4.0,2.36,92511,Intel Core i5,256GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
Samsung,2 in 1 Convertible,14.0,16.0,1.72,197814,Intel Core i9,512GB SSD,Intel HD Graphics 620,macOS
Razer,2 in 1 Convertible,13.3,,2.58,55522,Intel Pentium,1TB HDD,Nvidia GeForce GTX 1060,No OS
MSI,Workstation,14.0,64.0,1.08,227204,AMD A9,512GB SSD,Nvidia GeForce GTX 1060,No OS
Razer,Workstation,13.3,4.0,4.02,249561,AMD E-Series,256GB SSD,Intel UHD Graphics 620,Windows 10 S
HP,Workstation,12.5,8.0,4.04,114397,Intel Core i3,256GB SSD,AMD Radeon R5,Windows 10
Apple,Ultrabook,15.6,16.0,3.13,18880,AMD A9,1TB HDD,Intel HD Graphics 620,Windows 10 S
Apple,2 in 1 Convertible,17.3,16.0,2.24,189526,Intel Core i9,256GB SSD,Nvidia GeForce GTX 1060,Windows 10 S
Lenovo,Netbook,13.3,8.0,3.94,201783,Intel Core i9,1TB HDD,Intel UHD Graphics 620,No OS
MSI,Ultrabook,14.0,8.0,3.01,58539,Intel Core i7,1TB HDD,Intel HD Graphics 620,macOS
Toshiba,Notebook,17.3,8.0,4.04,214393,Intel Core i7,256GB SSD,AMD Radeon R5,Linux
Lenovo,Workstation,15.6,8.0,3.3,234057,AMD A9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Razer,Ultrabook,12.5,8.0,3.88,29799,Intel Core i3,1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Lenovo,Ultrabook,17.3,8.0,3.17,119843,AMD A9,256GB SSD,Nvidia GeForce GTX 1060,Windows 10
Razer,Notebook,13.3,8.0,2.47,206174,Intel Core i3,512GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Dell,Gaming,15.6,8.0,4.54,196798,Intel Core i3,1TB HDD,Intel HD Graphics 620,No OS
Apple,2 in 1 Convertible,14.0,16.0,2.96,63784,Intel Core i9,512GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Dell,Netbook,15.6,64.0,3.2,128034,Intel Core i9,256GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
Samsung,Gaming,15.6,16.0,1.74,189405,Intel Core i9,2TB HDD,Intel UHD Graphics 620,Windows 10 S
MSI,Workstation,11.6,4.0,3.28,186900,AMD E-Series,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10
Toshiba,Ultrabook,15.6,4.0,3.07,215598,Intel Core i9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,macOS
Razer,Notebook,15.6,64.0,1.6,69362,Intel Pentium,1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Toshiba,Notebook,17.3,8.0,1.13,68997,Intel Core i7,256GB SSD,Intel UHD Graphics 620,No OS
Razer,2 in 1 Convertible,14.0,4.0,3.2,196413,Intel Core i7,512GB SSD,AMD Radeon R5,Linux
HP,Gaming,17.3,16.0,3.8,165145,Intel Core i3,256GB SSD,Intel HD Graphics 620,Windows 10 S
Lenovo,2 in 1 Convertible,17.3,16.0,2.89,117399,Intel Core i7,512GB SSD,AMD Radeon R5,Windows 10 S
Samsung,Ultrabook,13.3,16.0,1.76,29549,Intel Core i5,512GB SSD,AMD Radeon R5,macOS
Apple,2 in 1 Convertible,17.3,8.0,3.43,229867,Intel Core i3,1TB HDD,Nvidia GeForce GTX 1060,Linux
Razer,Netbook,11.6,4.0,1.2,71920,Intel Core i7,512GB SSD +  1TB HDD,Intel HD Graphics 620,Linux
Toshiba,Notebook,11.6,64.0,2.58,231398,Intel Core i5,256GB SSD,AMD Radeon R5,No OS
Samsung,Notebook,13.3,8.0,1.52,221587,AMD E-Series,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Asus,Workstation,12.5,16.0,1.6,166388,Intel Core i7,256GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
Asus,Workstation,14.0,16.0,1.67,172255,Intel Core i5,1TB HDD,,Windows 10 S
Dell,Ultrabook,14.0,16.0,2.37,108860,AMD A9,1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Apple,Netbook,17.3,8.0,1.09,39624,Intel Pentium,256GB SSD +  1TB HDD,Intel UHD Graphics 620,No OS
HP,Gaming,17.3,8.0,2.41,208587,AMD A9,256GB SSD,Intel HD Graphics 620,macOS
Toshiba,2 in 1 Convertible,12.5,16.0,2.84,249784,Intel Core i5,2TB HDD,AMD Radeon R5,macOS
Lenovo,Ultrabook,17.3,32.0,2.74,231853,Intel Core i3,256GB SSD +  1TB HDD,AMD Radeon R5,macOS
Lenovo,Workstation,14.0,32.0,2.35,61705,Intel Core i9,256GB SSD,Intel UHD Graphics 620,No OS
Toshiba,2 in 1 Convertible,15.6,4.0,4.09,104326,Intel Core i9,512GB SSD,Intel UHD Graphics 620,No OS
MSI,Workstation,11.6,8.0,1.45,172828,Intel Core i9,1TB HDD,AMD Radeon R5,macOS
HP,2 in 1 Convertible,15.6,32.0,2.82,75390,Intel Core i3,256GB SSD,Intel HD Graphics 620,No OS
Samsung,Gaming,15.6,16.0,1.14,83369,Intel Core i7,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Razer,Ultrabook,14.0,32.0,1.17,216893,Intel Core i9,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10
MSI,2 in 1 Convertible,15.6,8.0,3.08,24589,AMD A9,1TB HDD,Intel UHD Graphics 620,Chrome OS
Razer,Netbook,12.5,16.0,3.05,128012,Intel Core i3,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10 S
Razer,Notebook,13.3,16.0,4.24,160188,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1050,Windows 10
MSI,Netbook,17.3,16.0,3.02,88181,Intel Core i9,256GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
Dell,Netbook,13.3,8.0,4.55,190858,AMD A9,256GB SSD,Intel HD Graphics 620,Linux
Asus,Notebook,11.6,4.0,1.09,240758,AMD E-Series,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10 S
Razer,Netbook,17.3,16.0,1.27,138711,Intel Core i3,1TB HDD,Intel HD Graphics 620,Windows 10
MSI,2 in 1 Convertible,15.6,8.0,1.07,91425,Intel Core i9,256GB SSD,Intel HD Graphics 620,Linux
MSI,2 in 1 Convertible,11.6,8.0,1.6,176358,Intel Pentium,512GB SSD,AMD Radeon R5,Chrome OS
Acer,2 in 1 Convertible,17.3,64.0,2.96,249153,Intel Core i5,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10
Dell,Notebook,12.5,8.0,3.35,30994,Intel Core i7,256GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
Apple,Netbook,12.5,16.0,1.07,247111,Intel Core i3,2TB HDD,Nvidia GeForce GTX 1050,No OS
Acer,Notebook,12.5,8.0,4.49,126915,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1060,Linux
Acer,2 in 1 Convertible,12.5,16.0,4.1,137961,Intel Pentium,512GB SSD +  1TB HDD,Intel UHD Graphics 620,Windows 10
Toshiba,Netbook,15.6,64.0,2.03,236270,Intel Core i3,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,macOS
Asus,Netbook,13.3,4.0,1.19,119672,AMD E-Series,1TB HDD,AMD Radeon R5,No OS
MSI,Workstation,17.3,4.0,1.55,41639,Intel Core i5,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Asus,Workstation,15.6,8.0,1.38,32205,Intel Core i7,2TB HDD,Nvidia GeForce GTX 1050,Windows 10
HP,Gaming,12.5,4.0,1.37,71677,Intel Core i3,512GB SSD,Nvidia GeForce GTX 1060,No OS
Toshiba,Ultrabook,13.3,16.0,2.87,47930,Intel Core i7,2TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Apple,Workstation,11.6,32.0,,88313,AMD A9,256GB SSD +  1TB HDD,AMD Radeon R5,Linux
Asus,Notebook,11.6,8.0,2.26,239923,Intel Pentium,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Lenovo,Workstation,11.6,8.0,,128153,Intel Pentium,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Chrome OS
Razer,Gaming,12.5,8.0,3.5,238581,Intel Core i3,256GB SSD,AMD Radeon R5,Windows 10 S
HP,Netbook,11.6,16.0,4.51,33316,Intel Core i3,256GB SSD +  1TB HDD,Intel UHD Graphics 620,macOS
Dell,Gaming,14.0,4.0,1.44,173376,AMD A9,512GB SSD +  1TB HDD,AMD Radeon R5,No OS
Apple,Netbook,17.3,16.0,2.35,247911,AMD E-Series,256GB SSD,AMD Radeon R5,No OS
HP,Netbook,17.3,16.0,3.01,111058,Intel Core i3,1TB HDD,Intel UHD Graphics 620,macOS
Razer,Ultrabook,12.5,16.0,1.19,102876,Intel Pentium,256GB SSD,AMD Radeon R5,No OS
Toshiba,Workstation,14.0,8.0,0.92,100366,Intel Core i7,2TB HDD,Intel UHD Graphics 620,Windows 10 S
Razer,Notebook,15.6,16.0,3.45,28403,Intel Core i5,512GB SSD,Intel UHD Graphics 620,Chrome OS
Acer,Notebook,15.6,4.0,3.34,95052,Intel Core i9,2TB HDD,Intel UHD Graphics 620,Windows 10
Razer,2 in 1 Convertible,11.6,8.0,2.46,230699,Intel Core i7,256GB SSD,Nvidia GeForce GTX 1050,macOS
Acer,Netbook,13.3,32.0,2.76,88495,AMD E-Series,1TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
Toshiba,Notebook,15.6,16.0,2.48,178004,Intel Core i5,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Samsung,Ultrabook,13.3,4.0,0.99,111090,Intel Core i7,256GB SSD,Intel UHD Graphics 620,Windows 10 S
Acer,Netbook,17.3,8.0,2.17,51701,Intel Core i7,2TB HDD,Nvidia GeForce GTX 1060,Windows 10
Dell,Ultrabook,13.3,8.0,1.57,149457,AMD A9,256GB SSD,Nvidia GeForce GTX 1060,Linux
Razer,Notebook,17.3,8.0,1.27,245298,Intel Core i9,256GB SSD,Intel UHD Graphics 620,No OS
Razer,Notebook,14.0,8.0,4.54,72241,AMD E-Series,256GB SSD,Nvidia GeForce GTX 1060,No OS
Dell,2 in 1 Convertible,14.0,4.0,3.18,156439,Intel Pentium,1TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Lenovo,Notebook,12.5,8.0,3.67,80030,AMD A9,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Linux
MSI,Netbook,12.5,16.0,2.1,192577,Intel Core i5,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,No OS
Samsung,Netbook,11.6,16.0,2.39,179404,Intel Core i9,256GB SSD,Intel UHD Graphics 620,Chrome OS
Apple,Netbook,15.6,16.0,1.8,231250,Intel Pentium,1TB HDD,Intel HD Graphics 620,Chrome OS
Acer,2 in 1 Convertible,11.6,4.0,1.27,222397,AMD A9,1TB HDD,Intel HD Graphics 620,Windows 10 S
Dell,2 in 1 Convertible,17.3,64.0,1.58,181340,Intel Core i9,256GB SSD,Intel HD Graphics 620,macOS
Toshiba,Notebook,11.6,16.0,3.93,232558,AMD E-Series,2TB HDD,Intel UHD Graphics 620,Windows 10 S
Acer,Gaming,13.3,16.0,3.47,171635,Intel Core i3,2TB HDD,Intel HD Graphics 620,Windows 10
MSI,Gaming,17.3,16.0,2.98,120185,Intel Core i3,512GB SSD,Nvidia GeForce GTX 1050,No OS
Toshiba,2 in 1 Convertible,12.5,32.0,2.71,51404,Intel Core i5,256GB SSD,Intel UHD Graphics 620,Chrome OS
HP,Notebook,14.0,16.0,4.41,70182,Intel Core i3,512GB SSD,Intel UHD Graphics 620,macOS
Razer,Gaming,12.5,8.0,,47991,AMD A9,2TB HDD,Intel UHD Graphics 620,No OS
HP,Notebook,15.6,16.0,1.97,119601,Intel Core i5,2TB HDD,Nvidia GeForce GTX 1060,Chrome OS
Acer,Notebook,17.3,,2.23,193735,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1060,Chrome OS
MSI,Notebook,17.3,16.0,3.87,80886,AMD E-Series,512GB SSD,Nvidia GeForce GTX 1060,Windows 10 S
Samsung,Workstation,13.3,16.0,4.67,137002,Intel Core i5,512GB SSD,AMD Radeon R5,macOS
Acer,Netbook,15.6,4.0,1.81,98848,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1050,macOS
Dell,Notebook,14.0,8.0,4.22,170199,Intel Core i5,512GB SSD,Intel UHD Graphics 620,No OS
Asus,Workstation,17.3,32.0,4.06,72692,Intel Core i7,256GB SSD +  1TB HDD,Intel UHD Graphics 620,Chrome OS
Acer,2 in 1 Convertible,17.3,16.0,1.75,240461,Intel Core i7,2TB HDD,Nvidia GeForce GTX 1060,macOS
Razer,Gaming,13.3,16.0,2.42,52500,Intel Core i5,512GB SSD +  1TB HDD,Intel UHD Graphics 620,macOS
Razer,Netbook,11.6,8.0,2.46,48785,Intel Core i9,1TB HDD,Intel UHD Graphics 620,No OS
Acer,Gaming,14.0,8.0,4.62,99146,Intel Core i3,512GB SSD,Intel HD Graphics 620,Windows 10 S
Toshiba,Netbook,12.5,32.0,1.59,235198,Intel Core i7,512GB SSD,Intel UHD Graphics 620,Linux
Asus,Gaming,15.6,16.0,3.94,241051,Intel Core i9,1TB HDD,AMD Radeon R5,Windows 10
Dell,Netbook,17.3,16.0,2.17,62997,Intel Core i9,512GB SSD,,Linux
Acer,Gaming,17.3,8.0,3.68,22170,AMD E-Series,1TB HDD,Nvidia GeForce GTX 1050,macOS
Toshiba,Gaming,12.5,16.0,2.5,159375,Intel Pentium,256GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Razer,Gaming,14.0,8.0,3.1,86743,AMD A9,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10
Razer,Gaming,11.6,,4.06,223924,Intel Core i7,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,Windows 10
MSI,2 in 1 Convertible,17.3,8.0,3.96,50187,Intel Core i5,2TB HDD,Nvidia GeForce GTX 1050,Chrome OS
Acer,Notebook,14.0,8.0,4.19,211106,Intel Core i3,512GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Asus,Ultrabook,12.5,16.0,1.13,217848,AMD A9,512GB SSD,Nvidia GeForce GTX 1060,Chrome OS
Lenovo,Workstation,13.3,32.0,3.53,147965,Intel Pentium,512GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
Asus,Ultrabook,11.6,4.0,1.43,159825,Intel Core i9,256GB SSD,Intel HD Graphics 620,No OS
Razer,Ultrabook,15.6,16.0,2.48,53090,Intel Pentium,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1050,No OS
Razer,Netbook,17.3,8.0,2.98,210994,Intel Core i7,256GB SSD,AMD Radeon R5,Linux
HP,Notebook,14.0,8.0,2.43,222840,Intel Pentium,256GB SSD,Intel HD Graphics 620,Windows 10
Razer,Netbook,13.3,4.0,2.87,74412,Intel Pentium,512GB SSD,Nvidia GeForce GTX 1050,Windows 10 S
Dell,Notebook,15.6,8.0,4.69,71030,Intel Core i3,256GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Apple,Notebook,14.0,16.0,1.41,32509,Intel Core i9,256GB SSD +  1TB HDD,Nvidia GeForce GTX 1060,Windows 10
Acer,Gaming,14.0,4.0,3.47,83653,Intel Core i3,512GB SSD +  1TB HDD,Intel UHD Graphics 620,No OS
Asus,2 in 1 Convertible,15.6,8.0,2.4,183001,Intel Core i3,256GB SSD +  1TB HDD,Intel HD Graphics 620,No OS
Apple,Gaming,13.3,32.0,1.41,144626,Intel Core i5,512GB SSD,Nvidia GeForce GTX 1050,Chrome OS
Toshiba,2 in 1 Convertible,12.5,4.0,1.5,194363,Intel Pentium,256GB SSD +  1TB HDD,Intel HD Graphics 620,Windows 10 S
Lenovo,Netbook,13.3,16.0,4.51,19042,Intel Pentium,1TB HDD,AMD Radeon R5,Windows 10
Dell,2 in 1 Convertible,11.6,8.0,4.24,208646,Intel Pentium,512GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
Asus,Netbook,17.3,16.0,4.35,52201,AMD E-Series,1TB HDD,Intel UHD Graphics 620,Windows 10 S
Apple,Ultrabook,15.6,8.0,4.67,238354,Intel Core i3,1TB HDD,Nvidia GeForce GTX 1050,Windows 10 S
Lenovo,Ultrabook,12.5,8.0,1.69,29016,AMD A9,2TB HDD,Nvidia GeForce GTX 1060,Windows 10 S
HP,2 in 1 Convertible,15.6,8.0,2.25,40022,Intel Core i7,512GB SSD,Nvidia GeForce GTX 1050,No OS
Dell,2 in 1 Convertible,15.6,4.0,3.44,247034,Intel Core i9,256GB SSD,Intel HD Graphics 620,Chrome OS
Dell,Netbook,13.3,8.0,2.74,42938,AMD A9,1TB HDD,AMD Radeon R5,Windows 10 S
HP,Gaming,17.3,16.0,2.49,189750,Intel Core i9,256GB SSD +  1TB HDD,Intel HD Graphics 620,Chrome OS
Acer,Netbook,11.6,32.0,2.26,133171,Intel Core i5,256GB SSD,Intel UHD Graphics 620,Linux
HP,Gaming,14.0,16.0,3.16,247320,Intel Core i5,256GB SSD +  1TB HDD,AMD Radeon R5,Windows 10
