platform,hashtag,category,country,month,date,posts,likes,views,comments,shares,engagement_rate
YouTube,#OnlineLearning,Education,Bangladesh,February,2023-02-13,29170,4823,4036203,319,266,0.13
Twitter,#Meditation,Health,Bangladesh,November,2023-11-28,424029,103192,1972910,17484,13598,6.81
Twitter,#IndianFashion,Fashion,Indonesia,September,2023-09-23,590098,98017,3895758,11454,21303,3.36
TikTok,#UPSC,Education,USA,January,2023-01-13,4099777,807849,63134047,62463,54457,1.46
Instagram,#Gaming,Gaming,USA,August,2023-08-22,1654733,285281,14553562,16572,19808,2.21
Facebook,#BGMI,Gaming,India,January,2023-01-23,753305,79337,5344759,7006,9082,1.79
Instagram,#Startup,Technology,India,October,2023-10-10,345828,74645,2806889,4252,7598,3.08
Instagram,#BJP,Politics,Bangladesh,August,2023-08-10,839596,92538,8706008,3311,7708,1.19
Facebook,#WebSeries,Entertainment,India,April,2023-04-16,299865,73620,2054788,2623,3768,3.89
TikTok,#Parliament,Politics,USA,April,2023-04-11,3888211,782618,84636771,34641,152522,1.15
YouTube,#Ayurveda,Health,Pakistan,July,2023-07-20,154379,10364,12868614,824,228,0.09
YouTube,#WellBeing,Health,India,December,2023-12-11,35613,3453,2241592,121,124,0.16
Instagram,#NEET,Education,UK,November,2023-11-02,299128,90092,2415896,5309,7059,4.24
Instagram,#UPSC,Education,Brazil,May,2023-05-28,304223,50344,3986484,3501,5431,1.49
Twitter,#Goa,Travel,India,July,2023-07-16,593861,89725,3539268,13701,20160,3.49
Facebook,#Goa,Travel,India,October,2023-10-17,40359,10295,134120,339,666,8.43
YouTube,#Democracy,Politics,Pakistan,September,2023-09-11,144607,18310,17799463,1003,879,0.11
YouTube,#StudyTips,Education,Canada,August,2023-08-14,143723,11897,13873271,1376,663,0.1
Instagram,#OOTD,Fashion,Brazil,May,2023-05-15,741018,297718,2996525,26563,12076,11.22
Instagram,#TechNews,Technology,Pakistan,December,2023-12-19,745326,299149,7694105,16229,25563,4.43
Instagram,#AI,Technology,Pakistan,June,2023-06-29,1126273,223429,10660424,10253,20860,2.39
YouTube,#Fitness,Health,Germany,September,2023-09-21,178574,30764,7929757,3615,1194,0.45
Twitter,#Skincare,Fashion,India,December,2023-12-26,913149,69890,2894634,6871,12179,3.07
Facebook,#Goa,Travel,Pakistan,November,2023-11-20,289770,63204,1231822,2325,8052,5.97
Twitter,#StreetFood,Food,Australia,May,2023-05-23,733449,174023,3632457,33506,34489,6.66
Twitter,#ChessOlympiad,Sports,Brazil,November,2023-11-22,701405,132886,6172960,22504,29143,2.99
Facebook,#Python,Technology,India,June,2023-06-15,305368,47120,1669630,3814,4400,3.31
YouTube,#Bollywood,Entertainment,India,November,2023-11-17,120976,6344,22658552,257,266,0.03
Facebook,#TechNews,Technology,France,March,2023-03-09,689571,100960,4997003,10993,5074,2.34
YouTube,#OOTD,Fashion,USA,December,2023-12-07,170608,12766,15583587,762,752,0.09
Instagram,#HealthyEating,Food,India,December,2023-12-27,209614,21041,1828186,644,1059,1.24
Facebook,#Bollywood,Entertainment,Australia,June,2023-06-25,134451,39984,609585,1675,1910,7.15
Facebook,#ChessOlympiad,Sports,Canada,February,2023-02-22,116214,17308,846727,732,2164,2.39
Instagram,#Elections2024,Politics,Indonesia,October,2023-10-16,27772,8709,138010,418,428,6.92
Instagram,#StreetFood,Food,Bangladesh,August,2023-08-15,1813472,319235,24951770,9960,13115,1.37
Facebook,#Esports,Gaming,USA,March,2023-03-13,267822,37744,671025,3012,4000,6.67
TikTok,#Skincare,Fashion,India,December,2023-12-04,2580418,625623,52055215,14517,68044,1.36
Twitter,#Python,Technology,UK,February,2023-02-27,257792,38647,1740466,4994,15200,3.38
YouTube,#FreeFireIndia,Gaming,UK,October,2023-10-19,110826,11615,15840312,1383,892,0.09
Twitter,#OTT,Entertainment,India,January,2023-01-08,279921,26074,2625836,5014,5720,1.4
YouTube,#NEET,Education,UK,December,2023-12-26,105954,6607,12352293,661,194,0.06
YouTube,#Kabaddi,Sports,France,April,2023-04-15,41231,5378,3724465,551,367,0.17
Twitter,#Skincare,Fashion,UK,May,2023-05-03,65718,6499,617553,438,1843,1.42
Twitter,#Skincare,Fashion,Australia,December,2023-12-03,781636,66540,1642467,4696,6880,4.76
Facebook,#PubG,Gaming,Indonesia,May,2023-05-13,183073,29623,1189728,3217,3573,3.06
Twitter,#Movies,Entertainment,Canada,August,2023-08-08,290192,44913,1190831,8814,12946,5.6
Facebook,#Travel,Travel,USA,January,2023-01-29,531879,143106,1596322,6319,17897,10.48
TikTok,#Cricket,Sports,Australia,September,2023-09-18,71546,12149,1901207,329,1467,0.73
Facebook,#Budget2024,Politics,France,January,2023-01-19,587720,150859,3693305,13428,9760,4.71
Instagram,#HealthyEating,Food,USA,May,2023-05-19,1742241,221718,13020983,13339,24649,1.99
Instagram,#Startup,Technology,India,July,2023-07-25,154549,62893,2069779,5149,3645,3.46
Twitter,#NEET,Education,India,July,2023-07-08,215418,23333,1782811,3755,4031,1.75
YouTube,#Ayurveda,Health,Canada,April,2023-04-11,192510,35627,30202277,1847,372,0.13
Facebook,#Netflix,Entertainment,Indonesia,June,2023-06-27,674833,178632,4901441,20647,7174,4.21
Facebook,#OOTD,Fashion,India,September,2023-09-29,257736,44423,2001863,5221,2472,2.6
YouTube,#IPL2024,Sports,France,April,2023-04-29,136751,15310,24779832,1218,954,0.07
TikTok,#Kabaddi,Sports,India,November,2023-11-23,3358058,616786,64459663,24948,120046,1.18
Instagram,#Saree,Fashion,Germany,June,2023-06-11,1952050,742337,22270367,58517,43519,3.79
YouTube,#AI,Technology,India,March,2023-03-11,153777,10202,6000131,800,326,0.19
Twitter,#JEE,Education,Canada,April,2023-04-17,478869,53471,1972970,3635,7875,3.29
YouTube,#MentalHealth,Health,India,June,2023-06-17,39382,2507,2547203,166,115,0.11
YouTube,#IndianFashion,Fashion,India,July,2023-07-27,119041,15879,14168469,513,272,0.12
Instagram,#IPL2024,Sports,India,April,2023-04-24,284129,48116,2218189,3604,5503,2.58
Twitter,#WellBeing,Health,India,February,2023-02-08,27859,6948,99791,1020,2381,10.37
Twitter,#BGMI,Gaming,India,August,2023-08-25,58097,4856,382921,841,1061,1.76
Twitter,#HealthyEating,Food,UK,March,2023-03-30,376136,34959,1315426,3215,12760,3.87
Twitter,#WellBeing,Health,Pakistan,May,2023-05-06,683720,74539,3620938,9884,8817,2.58
YouTube,#Recipe,Food,UK,April,2023-04-13,168967,30869,19371480,3148,2042,0.19
Twitter,#HealthyEating,Food,USA,September,2023-09-03,575968,118814,2737157,16021,23344,5.78
YouTube,#Elections2024,Politics,USA,November,2023-11-02,57914,3150,9609327,178,209,0.04
Facebook,#JEE,Education,Canada,October,2023-10-27,252068,74177,655579,6610,5141,13.11
Twitter,#Startup,Technology,Germany,July,2023-07-18,377039,89373,3744877,6797,15279,2.98
YouTube,#PubG,Gaming,India,December,2023-12-27,184147,18921,22498573,727,1445,0.09
Facebook,#JEE,Education,India,September,2023-09-09,47807,4773,162340,237,467,3.37
Twitter,#PubG,Gaming,India,March,2023-03-08,362311,70066,3387697,12376,13808,2.84
Twitter,#Vote,Politics,Australia,March,2023-03-14,816982,58973,5073751,6176,7180,1.43
Facebook,#MentalHealth,Health,USA,June,2023-06-04,346273,38096,1019782,4395,4842,4.64
Facebook,#FreeFireIndia,Gaming,Australia,October,2023-10-15,735250,202717,4177877,12591,22949,5.7
Instagram,#Foodie,Food,Australia,December,2023-12-19,627647,90740,7372323,8702,10469,1.49
Facebook,#MentalHealth,Health,India,November,2023-11-05,341674,96566,2666830,4816,9870,4.17
Facebook,#Parliament,Politics,Australia,February,2023-02-09,257556,40255,1008875,3512,5874,4.92
YouTube,#IncredibleIndia,Travel,India,April,2023-04-18,65915,10149,5476653,1241,613,0.22
Twitter,#Cooking,Food,Australia,August,2023-08-03,179418,40711,1066578,4348,10739,5.23
Twitter,#Travel,Travel,Bangladesh,December,2023-12-18,241540,19934,625510,3525,3757,4.35
YouTube,#OOTD,Fashion,India,June,2023-06-25,45092,8260,2207830,245,627,0.41
Twitter,#PubG,Gaming,Pakistan,September,2023-09-05,743726,41796,7094802,3124,15336,0.85
Instagram,#Bollywood,Entertainment,USA,April,2023-04-16,408425,99348,3941035,9343,7809,2.96
YouTube,#IndianFashion,Fashion,India,January,2023-01-26,103496,14051,17715804,561,495,0.09
Facebook,#FIFA,Sports,Germany,December,2023-12-05,663455,140683,2121761,4546,8270,7.23
YouTube,#Olympics,Sports,Germany,March,2023-03-01,81332,13641,8521153,1859,389,0.19
TikTok,#Recipe,Food,USA,July,2023-07-15,3148765,736692,19256030,30043,65941,4.32
YouTube,#MentalHealth,Health,India,December,2023-12-23,175472,11318,24612652,1415,441,0.05
TikTok,#Startup,Technology,India,July,2023-07-18,4433737,1500307,81526936,106045,181872,2.19
Instagram,#Kashmir,Travel,India,July,2023-07-22,1903261,759170,6502951,49875,58086,13.33
TikTok,#Yoga,Health,India,August,2023-08-18,1500213,865739,13770634,21498,68314,6.94
Twitter,#IndianFood,Food,Bangladesh,August,2023-08-11,216727,54063,1520948,9467,9588,4.81
Twitter,#Olympics,Sports,Indonesia,July,2023-07-23,583870,67276,2457862,7987,24356,4.05
TikTok,#WellBeing,Health,Canada,August,2023-08-03,993876,334438,8651684,17108,54766,4.7
Twitter,#Kabaddi,Sports,Canada,February,2023-02-21,828914,88874,5209780,9027,19842,2.26
Facebook,#Travel,Travel,Pakistan,August,2023-08-31,47285,5574,208897,477,640,3.2
Facebook,#MusicMonday,Entertainment,France,June,2023-06-19,732056,96827,4739695,10929,13427,2.56
Twitter,#Gaming,Gaming,India,May,2023-05-24,888788,131828,6727647,8533,47546,2.79
Instagram,#Skincare,Fashion,Brazil,June,2023-06-14,575014,204175,5899499,5541,14242,3.8
Facebook,#Travel,Travel,Germany,July,2023-07-11,66936,12942,197717,750,1239,7.55
Instagram,#OnlineLearning,Education,India,March,2023-03-30,414254,168316,2240584,4142,5550,7.94
Twitter,#Valorant,Gaming,India,May,2023-05-21,391244,84000,2363509,12206,11521,4.56
Twitter,#Coding,Technology,Brazil,November,2023-11-01,472773,40430,4237864,5580,8285,1.28
Instagram,#Skincare,Fashion,Germany,December,2023-12-19,199565,39867,1524434,1316,3249,2.91
Instagram,#TechNews,Technology,India,December,2023-12-13,443546,86127,3510261,1860,8632,2.75
Twitter,#Goa,Travel,Bangladesh,March,2023-03-30,635343,133531,2408051,18861,51129,8.45
YouTube,#Cooking,Food,Germany,June,2023-06-28,120823,10608,12566273,1146,718,0.1
Facebook,#MentalHealth,Health,India,September,2023-09-19,702530,205579,4943191,16555,21650,4.93
YouTube,#Skincare,Fashion,India,September,2023-09-04,17234,1731,1202364,107,50,0.16
YouTube,#ChatGPT,Technology,Indonesia,May,2023-05-04,15383,2627,2529357,257,147,0.12
Instagram,#WebSeries,Entertainment,Brazil,June,2023-06-01,554056,231273,4352213,18256,19073,6.17
TikTok,#Coding,Technology,Australia,April,2023-04-24,4534844,1982820,76608843,150390,205766,3.05
YouTube,#BJP,Politics,France,October,2023-10-13,47983,4513,5025766,524,274,0.11
TikTok,#BJP,Politics,France,June,2023-06-21,799101,199786,8457044,14184,22589,2.8
YouTube,#Gaming,Gaming,Pakistan,May,2023-05-31,122072,21690,12780521,2876,1102,0.2
TikTok,#Olympics,Sports,France,April,2023-04-10,4248308,866302,93536883,40793,96996,1.07
Instagram,#Budget2024,Politics,USA,July,2023-07-29,1204125,496696,17868963,15625,53452,3.17
Instagram,#Olympics,Sports,USA,November,2023-11-20,380827,79857,1407598,4485,3900,6.27
Instagram,#Yoga,Health,Brazil,February,2023-02-15,281383,88654,2983180,4634,10361,3.47
Facebook,#Bollywood,Entertainment,Indonesia,April,2023-04-13,774151,125476,1613688,7402,16519,9.26
Instagram,#WebSeries,Entertainment,India,November,2023-11-17,1548477,289701,17532316,13774,12052,1.8
Facebook,#OnlineLearning,Education,India,March,2023-03-27,76458,19974,289715,1122,2398,8.11
TikTok,#JEE,Education,UK,December,2023-12-18,1172307,356650,32278997,12535,27912,1.23
Facebook,#Netflix,Entertainment,India,March,2023-03-09,229449,55411,1270724,2505,4450,4.91
Twitter,#HealthyEating,Food,India,October,2023-10-01,658404,39318,6556019,5869,11640,0.87
Twitter,#WebSeries,Entertainment,India,August,2023-08-02,470897,59356,3003503,7191,8662,2.5
Twitter,#Streetwear,Fashion,Bangladesh,February,2023-02-21,699663,107791,4885314,16719,24322,3.05
Twitter,#EdTech,Education,Pakistan,March,2023-03-02,301439,21945,859134,1751,3509,3.17
YouTube,#UPSC,Education,USA,December,2023-12-27,107915,10176,2923744,860,249,0.39
Facebook,#FreeFireIndia,Gaming,India,January,2023-01-07,712258,70927,1896447,5792,6692,4.4
Twitter,#StudyTips,Education,Australia,February,2023-02-21,953729,96496,3671172,19135,18219,3.65
Facebook,#Bollywood,Entertainment,Germany,March,2023-03-31,49360,13203,205401,1200,1146,7.57
Twitter,#IPL2024,Sports,India,March,2023-03-12,700578,125711,3243176,23153,48590,6.09
YouTube,#FIFA,Sports,Germany,June,2023-06-25,48438,3248,4458477,257,222,0.08
Facebook,#HealthyEating,Food,France,March,2023-03-27,126548,13813,804651,1634,1835,2.15
Twitter,#StreetFood,Food,Brazil,October,2023-10-19,716346,98592,4936043,16452,27941,2.9
Instagram,#Rajasthan,Travel,India,July,2023-07-30,934189,108450,5735317,4895,10130,2.15
TikTok,#Meditation,Health,Pakistan,April,2023-04-25,2887871,1107772,64128182,59018,127313,2.02
Instagram,#Kashmir,Travel,Bangladesh,December,2023-12-13,1355122,318056,17709271,20567,37817,2.13
Twitter,#WebSeries,Entertainment,France,March,2023-03-22,535126,117604,4717119,21217,14401,3.25
Facebook,#FreeFireIndia,Gaming,USA,May,2023-05-23,60796,11643,322399,746,1512,4.31
Twitter,#Rajasthan,Travel,Canada,October,2023-10-21,474865,32102,2843325,3127,12654,1.68
Twitter,#Olympics,Sports,UK,January,2023-01-19,589194,94164,5071351,15891,36625,2.89
YouTube,#OnlineLearning,Education,India,December,2023-12-02,176522,20905,14360727,2661,1404,0.17
Facebook,#PubG,Gaming,Canada,November,2023-11-14,637094,117282,3786251,11075,6162,3.55
Instagram,#Movies,Entertainment,USA,November,2023-11-21,1687538,341210,15633050,25989,11642,2.42
Instagram,#Goa,Travel,Germany,July,2023-07-29,234314,44285,1253827,1313,4725,4.01
Instagram,#Goa,Travel,Australia,June,2023-06-23,236001,86140,839692,6086,7795,11.91
Twitter,#Rajasthan,Travel,Bangladesh,October,2023-10-29,533689,41055,3197132,5318,4703,1.6
Facebook,#Ayurveda,Health,France,September,2023-09-18,193810,45002,589550,4651,2312,8.81
TikTok,#Fitness,Health,Indonesia,July,2023-07-16,3562014,2104350,99372197,133344,191578,2.44
YouTube,#Streetwear,Fashion,Canada,March,2023-03-10,36723,4109,5361652,481,127,0.09
TikTok,#Valorant,Gaming,Australia,October,2023-10-11,1873201,450317,38595788,13662,45839,1.32
Instagram,#Vote,Politics,Indonesia,December,2023-12-22,1345628,286394,5900394,13798,20973,5.44
TikTok,#HealthyEating,Food,Australia,October,2023-10-01,2448537,1334121,38098401,14533,88012,3.77
Facebook,#Elections2024,Politics,Bangladesh,January,2023-01-29,217612,30190,1460871,3578,3477,2.55
Instagram,#WebSeries,Entertainment,Canada,June,2023-06-01,437820,159260,1483192,13556,6246,12.07
TikTok,#TechNews,Technology,Bangladesh,October,2023-10-15,3312217,850968,81505973,56093,79264,1.21
Twitter,#Cooking,Food,UK,December,2023-12-17,332841,80935,808942,13075,13024,13.23
Facebook,#TechNews,Technology,Australia,December,2023-12-30,687091,110555,3799827,10664,6811,3.37
Instagram,#Streetwear,Fashion,India,December,2023-12-16,166172,27491,845074,1679,1757,3.66
Facebook,#BeautyTips,Fashion,India,March,2023-03-08,176746,36847,623930,2201,4350,6.96
Instagram,#Netflix,Entertainment,France,June,2023-06-15,1261748,148633,17902415,10292,13313,0.96
Facebook,#WellBeing,Health,USA,February,2023-02-07,750057,112455,2490018,5234,5341,4.94
TikTok,#Democracy,Politics,Indonesia,October,2023-10-02,3434107,657203,36160981,16387,65577,2.04
YouTube,#IndianFashion,Fashion,Canada,November,2023-11-13,139567,16919,16893223,1992,938,0.12
Twitter,#Esports,Gaming,India,November,2023-11-25,648512,151571,2562022,8485,55429,8.41
Facebook,#Olympics,Sports,India,October,2023-10-04,767143,109104,5729035,11345,8864,2.26
TikTok,#Rajasthan,Travel,India,June,2023-06-01,1664910,489717,11751993,8186,95859,5.05
TikTok,#StudyTips,Education,Bangladesh,February,2023-02-03,1818163,821174,44253281,57931,93311,2.2
Twitter,#Startup,Technology,Germany,December,2023-12-26,926317,227174,7597331,33390,86763,4.57
Instagram,#MusicMonday,Entertainment,Australia,June,2023-06-19,89453,11685,326612,976,937,4.16
TikTok,#Coding,Technology,UK,July,2023-07-18,3834316,1662550,60680450,18591,251036,3.18
TikTok,#WebSeries,Entertainment,Australia,November,2023-11-13,580475,284538,11400645,16805,17325,2.8
TikTok,#FIFA,Sports,Canada,December,2023-12-18,2577912,1090339,31032739,81631,116897,4.15
Twitter,#Goa,Travel,Indonesia,April,2023-04-23,148006,29505,1239426,5234,5561,3.25
Instagram,#Skincare,Fashion,France,November,2023-11-28,792511,344811,2483572,31026,14731,15.73
Twitter,#OTT,Entertainment,Pakistan,July,2023-07-21,568244,90637,1523470,7387,29224,8.35
YouTube,#Python,Technology,France,November,2023-11-27,134862,9624,7163692,964,266,0.15
Twitter,#BJP,Politics,Canada,October,2023-10-18,898650,54707,7196689,10859,14478,1.11
TikTok,#FIFA,Sports,Bangladesh,February,2023-02-04,2152920,418077,49817990,18438,41652,0.96
Instagram,#AI,Technology,India,November,2023-11-14,156399,64912,1065613,3638,5548,6.95
YouTube,#Yoga,Health,Pakistan,October,2023-10-18,96049,16439,18495061,689,524,0.1
Instagram,#Foodie,Food,Germany,July,2023-07-04,291659,98537,2035416,5754,6905,5.46
YouTube,#Travel,Travel,India,March,2023-03-31,169727,23930,29112039,3149,473,0.09
TikTok,#Coding,Technology,Australia,November,2023-11-17,691412,330039,18877365,22928,47771,2.12
TikTok,#Ayurveda,Health,Canada,October,2023-10-30,1834765,1023499,34474959,49171,204504,3.7
Facebook,#Parliament,Politics,UK,April,2023-04-25,626241,151118,2345895,10853,14529,7.52
Facebook,#PubG,Gaming,India,December,2023-12-06,258484,68900,1767834,5874,4012,4.46
TikTok,#Democracy,Politics,India,April,2023-04-02,4800948,2769764,103149964,215325,444236,3.32
Facebook,#BGMI,Gaming,India,September,2023-09-07,251007,23551,1058398,797,1477,2.44
YouTube,#Cooking,Food,France,August,2023-08-21,12673,709,1732835,23,55,0.05
YouTube,#BeautyTips,Fashion,Indonesia,October,2023-10-19,46073,4906,4060567,472,357,0.14
Twitter,#JEE,Education,UK,April,2023-04-25,546455,71677,4665574,7293,24212,2.21
TikTok,#OTT,Entertainment,France,March,2023-03-13,3740137,839745,25908698,46222,68630,3.68
Instagram,#Parliament,Politics,Pakistan,March,2023-03-02,1396447,252227,17782456,19577,18497,1.63
Facebook,#Goa,Travel,Pakistan,March,2023-03-24,686700,180835,1465882,6127,18641,14.03
Instagram,#BJP,Politics,Indonesia,January,2023-01-21,1878138,563994,6894539,22932,26058,8.89
Facebook,#WellBeing,Health,Bangladesh,January,2023-01-10,762500,183117,5282462,21104,11687,4.09
TikTok,#Rajasthan,Travel,India,April,2023-04-23,3495762,1469539,86923526,99093,113569,1.94
TikTok,#IndianFashion,Fashion,Australia,December,2023-12-18,2924534,1652532,58237222,24488,176377,3.18
Instagram,#IPL2024,Sports,India,September,2023-09-25,1812694,758193,20324675,65296,64064,4.37
Instagram,#Travel,Travel,Pakistan,January,2023-01-20,1850780,692846,16730959,20370,50856,4.57
Instagram,#WellBeing,Health,Germany,January,2023-01-01,1891080,809774,21071760,44148,54952,4.31
Twitter,#NEET,Education,India,September,2023-09-04,832909,169692,4001413,28965,63186,6.54
TikTok,#Olympics,Sports,India,May,2023-05-11,4052550,2004539,112466910,31806,280122,2.06
TikTok,#Foodie,Food,India,January,2023-01-03,109677,44977,871462,472,6664,5.98
YouTube,#Foodie,Food,India,March,2023-03-21,112192,16574,7365841,2173,657,0.26
YouTube,#Fitness,Health,Bangladesh,July,2023-07-23,198411,15982,23686085,1478,359,0.08
TikTok,#NEET,Education,India,June,2023-06-07,4895689,1492990,110825499,91826,266125,1.67
Twitter,#Python,Technology,Canada,December,2023-12-25,174654,12235,1059581,2054,4163,1.74
TikTok,#Netflix,Entertainment,UK,November,2023-11-22,94381,48319,2414396,2078,6766,2.37
Twitter,#FIFA,Sports,India,July,2023-07-09,88927,15278,693271,2896,3364,3.11
TikTok,#Skincare,Fashion,Pakistan,January,2023-01-30,1520280,666081,24285410,16065,98934,3.22
TikTok,#IndianFashion,Fashion,India,November,2023-11-03,4332785,1655627,46758437,36198,91736,3.81
Instagram,#Netflix,Entertainment,India,May,2023-05-22,1645092,394496,18155144,20685,18946,2.39
Twitter,#IPL2024,Sports,Indonesia,May,2023-05-26,766411,165508,7143005,16917,64380,3.46
YouTube,#Startup,Technology,India,August,2023-08-21,106394,14494,7128328,1057,252,0.22
Twitter,#JEE,Education,USA,March,2023-03-01,846945,129292,3439907,16896,43702,5.52
YouTube,#Rajasthan,Travel,Pakistan,September,2023-09-05,64272,10516,12405972,837,444,0.1
TikTok,#MusicMonday,Entertainment,India,May,2023-05-13,616686,198698,15242258,5052,30833,1.54
YouTube,#Foodie,Food,Indonesia,October,2023-10-02,3048,472,205444,27,17,0.25
YouTube,#Kabaddi,Sports,France,April,2023-04-02,125426,12176,7443017,1151,277,0.18
Instagram,#Wanderlust,Travel,India,May,2023-05-01,1552306,286741,9600802,10992,30149,3.42
TikTok,#FreeFireIndia,Gaming,Canada,February,2023-02-24,1055613,595455,23112966,33607,84598,3.09
TikTok,#MusicMonday,Entertainment,USA,November,2023-11-14,2695908,1001673,79890627,72911,180616,1.57
Facebook,#Vote,Politics,India,July,2023-07-23,240881,59024,667114,4563,5108,10.3
TikTok,#OTT,Entertainment,USA,July,2023-07-21,1516331,539416,12144605,24961,52510,5.08
Twitter,#WebSeries,Entertainment,India,July,2023-07-14,614231,43088,3005320,7724,6728,1.91
YouTube,#Coding,Technology,Brazil,November,2023-11-10,90440,9486,9928376,449,560,0.11
YouTube,#Esports,Gaming,India,August,2023-08-19,47656,6467,9353397,706,433,0.08
YouTube,#Startup,Technology,UK,July,2023-07-15,51896,3730,9997589,147,247,0.04
Instagram,#Cooking,Food,India,November,2023-11-19,1094242,313931,7428510,18499,16508,4.7
TikTok,#MusicMonday,Entertainment,India,December,2023-12-20,1420211,251400,35995889,10900,36322,0.83
Facebook,#Gaming,Gaming,USA,July,2023-07-04,595569,120690,4085660,7358,10294,3.39
YouTube,#Yoga,Health,Pakistan,October,2023-10-22,170858,25179,8785004,3057,877,0.33
TikTok,#Wanderlust,Travel,Brazil,February,2023-02-10,3246655,1383557,53874350,106480,249370,3.23
YouTube,#HealthyEating,Food,Pakistan,October,2023-10-20,106608,18905,3501212,776,491,0.58
YouTube,#Skincare,Fashion,India,November,2023-11-06,169489,18528,30471499,2251,1402,0.07
TikTok,#NEET,Education,UK,March,2023-03-27,1592549,851050,12941049,22488,74677,7.33
Twitter,#ChatGPT,Technology,UK,February,2023-02-22,105195,6601,949861,873,712,0.86
Facebook,#StudyTips,Education,India,May,2023-05-15,656127,74903,3890174,8216,5545,2.28
Instagram,#Streetwear,Fashion,Bangladesh,March,2023-03-06,285308,81130,1440033,1850,5039,6.11
YouTube,#Rajasthan,Travel,Germany,October,2023-10-04,71911,9512,3187144,1363,454,0.36
TikTok,#Ayurveda,Health,Bangladesh,November,2023-11-22,4781044,1652997,100376406,78294,308016,2.03
Facebook,#UPSC,Education,Canada,February,2023-02-15,471324,69629,2108337,3064,2866,3.58
TikTok,#Parliament,Politics,India,August,2023-08-29,4538734,697797,127321518,53232,84824,0.66
Twitter,#Foodie,Food,Pakistan,April,2023-04-29,840471,43236,4193236,4832,11594,1.42
Facebook,#ChatGPT,Technology,Australia,November,2023-11-27,416654,109269,1384772,4057,11886,9.04
TikTok,#Meditation,Health,Bangladesh,May,2023-05-20,2438042,1077140,44612771,31040,84232,2.67
Twitter,#Budget2024,Politics,India,February,2023-02-26,672830,94915,3782743,14718,23500,3.52
YouTube,#Netflix,Entertainment,India,October,2023-10-01,6301,490,242016,26,29,0.23
Twitter,#AI,Technology,India,January,2023-01-08,522555,48826,2801910,8195,12183,2.47
YouTube,#Wanderlust,Travel,Canada,January,2023-01-17,87072,5401,13505087,210,154,0.04
Facebook,#Kabaddi,Sports,Brazil,April,2023-04-03,209528,58050,733447,3735,2402,8.75
Instagram,#Cooking,Food,India,January,2023-01-18,427710,111757,5240282,6894,13230,2.52
Facebook,#HealthyEating,Food,India,June,2023-06-15,174316,38073,392754,4354,3704,11.75
YouTube,#Wanderlust,Travel,India,April,2023-04-12,94983,17394,16665563,840,311,0.11
Facebook,#BGMI,Gaming,India,May,2023-05-22,621099,66037,4183016,2034,2946,1.7
Facebook,#Yoga,Health,USA,February,2023-02-15,268804,30830,685022,2641,4389,5.53
Twitter,#Movies,Entertainment,Bangladesh,March,2023-03-20,740395,116442,2116887,14342,22708,7.25
TikTok,#Esports,Gaming,Australia,April,2023-04-09,229120,105432,3197183,2048,19483,3.97
Facebook,#Travel,Travel,India,October,2023-10-05,738897,138779,3990199,10953,10492,4.02
Facebook,#BeautyTips,Fashion,France,October,2023-10-11,176132,16759,516093,948,1155,3.65
YouTube,#IncredibleIndia,Travel,Canada,November,2023-11-23,133133,14226,7108792,319,995,0.22
TikTok,#Coding,Technology,Australia,February,2023-02-02,4571094,2370443,44553247,137072,390791,6.51
Instagram,#Fitness,Health,USA,July,2023-07-29,1354072,288022,5626271,20942,9775,5.67
Instagram,#Elections2024,Politics,India,February,2023-02-24,1027895,171726,3476141,12250,11157,5.61
Facebook,#OnlineLearning,Education,Australia,October,2023-10-30,276371,25094,918750,2374,1039,3.1
Instagram,#IncredibleIndia,Travel,Brazil,November,2023-11-24,137297,31073,1636817,2834,3231,2.27
Twitter,#Fitness,Health,Indonesia,January,2023-01-21,774969,49658,3434070,9518,19276,2.28
Twitter,#ChessOlympiad,Sports,India,September,2023-09-30,409048,35952,2539998,3139,10339,1.95
Instagram,#EdTech,Education,Indonesia,August,2023-08-01,1574702,215623,16791821,10487,15370,1.44
Facebook,#Cricket,Sports,Canada,April,2023-04-03,584680,98426,2353382,4353,14746,4.99
Facebook,#Gaming,Gaming,Indonesia,June,2023-06-16,397776,67906,2306880,7086,5132,3.47
Instagram,#WellBeing,Health,India,July,2023-07-12,1615806,472758,19284547,23070,33431,2.74
Facebook,#WebSeries,Entertainment,India,May,2023-05-26,632702,52885,1778217,5824,2153,3.42
Instagram,#Coding,Technology,India,December,2023-12-20,1734566,340989,16728081,21995,38645,2.4
Instagram,#IPL2024,Sports,Brazil,July,2023-07-02,337380,50081,2498297,3334,2552,2.24
YouTube,#Kabaddi,Sports,UK,October,2023-10-19,57499,9207,8638908,1133,203,0.12
TikTok,#Kabaddi,Sports,Bangladesh,June,2023-06-03,363495,174061,7054381,2696,10163,2.65
YouTube,#Esports,Gaming,UK,March,2023-03-03,59932,9718,10362606,1367,528,0.11
Facebook,#Movies,Entertainment,Indonesia,January,2023-01-22,342827,68148,993334,5125,4381,7.82
Twitter,#Cooking,Food,Canada,November,2023-11-01,608198,91804,2296972,8580,20040,5.24
Instagram,#BGMI,Gaming,Brazil,October,2023-10-20,1573038,184452,12254431,4944,13864,1.66
Instagram,#Democracy,Politics,Indonesia,April,2023-04-12,1033118,246255,10182378,15980,29485,2.86
